,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,StockTurnover,UnsoldInventoryValue
111,1128,BROWN-FORMAN CORP,2143,Canadian Mist,10.07,12.99,1750.0,37653.0,379165.7100000053,37763.0,518089.37000000355,180374.15999999744,69382.9399999987,68601.68000000001,138923.65999999823,26.814613084996758,1.3663929947673703,10.07000000000014,Large,1.0029214139643587,-1107.7
112,4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50.33,74.99,750.0,7505.0,377726.65000000165,7612.0,534970.9199999998,222174.11000000197,849.1700000000134,144929.24,157244.26999999816,29.393049999801523,1.4162911724655844,50.33000000000022,Large,1.014257161892072,-5385.3099999999995
113,17035,PERNOD RICARD USA,2646,Chivas Regal,43.3,58.99,1750.0,8702.0,376796.5999999969,8233.0,462119.6700000013,267131.5300000046,15131.220000000292,123780.21999999997,85323.07000000443,18.463414465782034,1.2264433118558,43.29999999999964,Large,0.9461043438290049,20307.699999999997
114,7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,11.9,14.99,750.0,31495.0,374790.4999999976,31383.0,494108.1699999988,216863.360000005,24709.809999999903,38994.78000000001,119317.6700000012,24.148086845032633,1.3183583095089175,11.899999999999924,Large,0.9964438799809494,1332.8
115,3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,20.79,25.99,1750.0,17755.0,369126.44999999524,17633.0,482985.67000000254,267976.33000000933,32401.76000000102,257032.07000000007,113859.2200000073,23.574036886023286,1.3084558692556678,20.789999999999733,Large,0.9931286961419319,2536.38
116,1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,18.37,24.99,1750.0,20089.0,369034.92999999056,20179.0,522535.2099999991,230329.08000000493,37080.62000000095,8497.589999999998,153500.28000000853,29.376064437841194,1.415950544302168,18.36999999999953,Large,1.0044800637164617,-1653.3000000000002
117,1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,5.95,8.99,750.0,61869.0,368120.55000000226,61253.0,567452.4700000042,110538.35000000126,6872.189999999878,79528.99,199331.9200000019,35.12750944585728,1.5414854454607347,5.950000000000037,Large,0.9900434789636167,3665.2000000000003
118,4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15.03,19.99,1750.0,24202.0,363756.0599999934,23843.0,485688.5700000018,237850.84000000902,43809.65000000115,144929.24,121932.51000000839,25.10508122519909,1.3352040650539556,15.029999999999728,Large,0.9851665151640361,5395.7699999999995
119,17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,24.02,31.99,1000.0,15142.0,363710.83999999886,14506.0,468587.9400000016,124940.35999999996,15231.30000000008,123780.21999999997,104877.10000000271,22.381519251221523,1.2883529674287493,24.019999999999925,Large,0.9579976225069343,15276.72
120,12546,JIM BEAM BRANDS COMPANY,1345,Basil Hayden Bourbon,28.45,37.99,750.0,12761.0,363050.4500000035,12902.0,494732.9800000022,272052.0800000082,10162.799999999972,123880.96999999999,131682.5299999987,26.61688937737648,1.3627113807461124,28.450000000000273,Large,1.0110492908079305,-4011.45
